"","YYYY","MM_DD","ATMP","WTMP"
"632",1987,"6-11",4.6,5.2
"633",1987,"6-12",5.4,5.4
"634",1987,"6-13",3.3,5.3
"635",1987,"6-14",5.1,5.4
"636",1987,"6-15",4.2,6.4
"637",1987,"6-16",5.1,6.3
"638",1987,"6-17",5.5,6
"639",1987,"6-18",5.9,6.3
"640",1987,"6-19",5,5.8
"641",1987,"6-20",5.5,5.8
"642",1987,"6-21",5.2,6.2
"643",1987,"8-27",7.5,9.8
"644",1987,"8-28",7.8,9.8
"645",1987,"8-29",8.9,10.2
"646",1987,"8-30",9.7,9.2
"647",1987,"8-31",8.7,9
"648",1987,"9-1",9,9.5
"649",1987,"9-2",8.6,9.7
"650",1987,"9-3",9.7,9.4
"651",1987,"9-4",9,9.4
"652",1987,"9-5",8.3,NA
"653",1987,"9-6",7.8,9.6
"654",1987,"9-7",6.5,9.4
"655",1987,"9-8",6.8,9.5
"656",1987,"9-9",6.6,9.5
"657",1987,"9-10",7.3,9.5
"658",1987,"9-11",9,9.5
"659",1987,"9-12",9.4,9.5
"660",1987,"9-13",8.6,9.5
"661",1987,"9-14",8,9.6
"662",1987,"9-15",7.7,9.4
"663",1987,"9-16",8.2,9
"664",1987,"9-17",8.6,9.4
"665",1987,"9-18",7,9
"666",1987,"9-19",7.8,9.1
"667",1987,"9-20",7,9.1
"668",1987,"9-21",8,9
"669",1987,"9-22",5.8,7.9
"670",1987,"9-23",5.5,7.8
"671",1987,"9-24",7.4,7.5
"672",1987,"9-25",6.3,7.5
"673",1987,"9-26",7.1,7.8
"674",1987,"9-28",6.3,7.8
"675",1987,"9-29",6.6,7.5
"676",1987,"9-30",5.5,7.1
"677",1987,"10-1",3.6,6.7
"678",1987,"10-2",3.4,6.3
"679",1987,"10-3",2.3,6.6
"680",1987,"10-4",4.7,6.7
"681",1987,"10-5",5.6,6.6
"682",1987,"10-6",6.6,6.6
"683",1987,"10-7",6.4,6.3
"684",1987,"10-8",4.6,6.3
"685",1987,"10-9",4.4,6.3
"686",1987,"10-10",4.3,6
"687",1987,"10-11",3.9,6
"688",1987,"10-12",5.9,5.9
"689",1987,"10-13",6.4,5.9
"690",1987,"10-14",4.8,5.8
"691",1987,"10-15",4.1,5.9
"692",1987,"10-16",4.4,6.3
"693",1987,"10-17",3.6,6
"694",1987,"10-18",1.8,6.2
"695",1987,"10-19",3.1,5.9
"696",1987,"10-20",3.9,6.3
"697",1987,"10-21",3.9,6.3
"698",1987,"10-22",2.5,6.4
"699",1987,"10-23",2.3,6.3
"700",1987,"10-24",1,5.9
"701",1987,"10-25",2.8,5.9
"702",1987,"10-26",4.3,5.9
"703",1987,"10-27",3.6,5.8
"704",1987,"10-28",5.6,5.8
"705",1987,"10-29",5.2,5.6
"706",1987,"10-30",3.8,5.6
"707",1987,"10-31",5.4,5.6
"708",1987,"11-1",4.6,5.6
"709",1987,"11-2",1.5,5.6
"710",1987,"11-3",0.8,5.5
"711",1987,"11-4",0.9,5.3
"712",1987,"11-5",-0.6,5.2
"713",1987,"11-6",2.3,5.2
"714",1987,"11-7",3.4,5.2
"715",1987,"11-8",3.6,5.2
"716",1987,"11-9",3.5,5.1
"717",1987,"11-10",0.1,5.1
"718",1987,"11-11",-0.3,4.8
"719",1987,"11-12",1.3,4.8
"720",1987,"11-13",3.6,4.8
"721",1987,"11-14",4.3,4.8
"722",1987,"11-15",2,4.7
"723",1987,"11-16",2,4.4
"724",1987,"11-17",0.1,4.7
"725",1987,"11-18",4.3,4.7
"726",1987,"11-19",3.9,4.7
"727",1987,"11-20",2.5,4.4
"728",1987,"11-21",2.1,4.4
"729",1987,"11-22",1.7,4.4
"730",1987,"11-23",-1.1,4.3
"731",1987,"11-24",0,4.3
"732",1987,"11-25",-2.3,4
"733",1987,"11-26",-2,4
"734",1987,"11-27",-0.8,3.9
"735",1987,"11-28",-2.9,3.9
"736",1987,"11-29",-3,3.6
"737",1987,"11-30",-2.5,3.6
"738",1987,"12-1",-0.2,3.5
"739",1987,"12-2",-3.1,3.5
"740",1987,"12-3",-3.8,3.5
"741",1987,"12-4",-5,3.5
